"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"L1 (Sig) (mm)";"L2 (Gnd) (mm)";"L3 (Pwr) (mm)";"L4 (Sig+Pwr) (mm)";"L5 (Gnd) (mm)";"L6 (Sig+Pwr) (mm)";"L7 (Gnd) (mm)";"L8 (Sig) (mm)";
200;"USB_ULPI_DATA5";2;1;1,1846;16,6212;15,1975;33,0033;14,7277;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,8936;
201;"USB_ULPI_DATA7";2;1;1,1846;17,9850;14,0150;33,1846;17,9850;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
202;"USB_PHY_RST";3;1;1,1846;8,5255;0,0000;9,7101;1,3836;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,1419;
203;"USB_D-";2;0;0,0000;1,9743;0,0000;1,9743;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,9743;
204;"USB_ULPI_DATA1";2;1;1,1846;17,8768;15,1025;34,1638;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;17,3111;
205;"USB_ULPI_STP";2;1;1,1846;19,1941;12,7708;33,1495;19,1941;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
206;"USB_D+";2;0;0,0000;1,9743;0,0000;1,9743;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,9743;
207;"USB_VBUS";2;0;0,0000;1,9182;0,0000;1,9182;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,9182;
208;"USB_ULPI_DATA2";2;1;1,1846;18,1442;13,4558;32,7846;9,3921;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8,7521;
209;"USB_ULPI_DATA3";2;1;1,1846;20,1483;12,2933;33,6262;0,5757;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;19,5726;
210;"USB_ULPI_DIR";2;1;1,1846;25,9141;6,8108;33,9095;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;25,3484;
211;"USB_ULPI_DATA0";2;1;1,1846;24,9858;7,5242;33,6946;24,9858;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
212;"USB_ID";2;0;0,0000;1,9182;0,0000;1,9182;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,9182;
213;"/USB HS PHY/RBIAS";2;0;0,0000;2,0175;0,0000;2,0175;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0175;
214;"ZYNQ_PL_DONE";3;2;1,1846;17,9242;4,4217;23,5305;0,5657;0,0000;0,0000;0,0000;0,0000;13,0824;0,0000;4,2761;
215;"/Ethernet PHY/1V0_ETH";12;6;3,5538;2,1174;0,0000;5,6711;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,1174;
216;"ZYNQ_PL_INITB";3;2;1,6693;16,8037;9,3450;27,8180;0,5657;0,0000;0,0000;15,3494;0,0000;0,0000;0,0000;0,8885;
217;"/Ethernet PHY/1V8A_ETH";4;1;0,0000;5,4347;0,0000;5,4347;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5,4347;
218;"/Ethernet PHY/3V3A_ETH";6;2;1,5013;6,9517;0,0000;8,4530;0,0000;0,0000;0,0000;0,0000;0,0000;0,0071;0,0000;6,9447;
219;"ETH_PHY_RXD0";3;2;2,0525;12,4214;12,5642;27,0381;5,1664;0,0000;0,0000;0,0000;0,0000;7,2550;0,0000;0,0000;
220;"ETH_PHY_RXD1";3;2;2,0525;15,4417;9,4583;26,9525;8,7102;0,0000;0,0000;0,0000;0,0000;6,7315;0,0000;0,0000;
221;"ETH_PHY_RXD2";3;2;2,0525;13,8837;11,2100;27,1462;1,0762;0,0000;0,0000;0,0000;0,0000;12,1735;0,0000;0,6341;
222;"ETH_PHY_RXD3";3;2;2,0525;8,4321;16,8550;27,3396;2,3465;0,0000;0,0000;0,0000;0,0000;6,0856;0,0000;0,0000;
223;"ETH_PHY_RXC";3;2;1,7358;7,2500;19,5350;28,5208;2,2326;0,0000;0,0000;0,0000;0,0000;5,0174;0,0000;0,0000;
224;"ETH_PHY_RXCTL";3;2;2,0525;18,9562;5,9592;26,9679;2,1853;0,0000;0,0000;0,0000;0,0000;15,8099;0,0000;0,9610;
225;"ETH_PHY_MDIO";3;2;0,9694;12,1834;7,7167;20,8695;3,6881;0,0000;0,0000;8,4952;0,0000;0,0000;0,0000;0,0000;
226;"ETH_PHY_INT";3;2;2,3692;10,8052;12,9683;26,1427;1,8317;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8,9735;
227;"Net-(U3-RSET)";2;1;1,1846;2,2399;0,0000;3,4245;2,2399;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
228;"/Zynq_B502_DDR/DDR_A14_T";2;2;2,3692;30,0780;0,0000;32,4472;19,8483;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;10,2297;
229;"/Zynq_B502_DDR/DDR_BA0";2;1;1,1846;8,7987;8,2192;18,2025;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8,2330;
230;"/Zynq_B502_DDR/DDR_BA0_T";2;1;1,1846;27,8520;0,0000;29,0366;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;27,8520;
